title_name,title_nutrient
레몬녹차,1병당 - 칼로리: 116kcal | 지방: 0.00g | 탄수화물: 17.00g | 단백질: 0.00g
환타 레몬,1캔 (335ml)당 - 칼로리: 172kcal | 지방: 0.00g | 탄수화물: 43.00g | 단백질: 0.00g
망고코코,1캔 (240ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g
석류드링크,1캔 (240ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g
쿨피스 복숭아,1인분 (450ml)당 - 칼로리: 170kcal | 지방: 0.00g | 탄수화물: 41.00g | 단백질: 1.00g
카프리썬 오렌지,100ml당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 7.50g | 단백질: 0.00g
따뜻한 허니 레몬&배,1인분 (280ml)당 - 칼로리: 150kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g
오르조 가바,1인분 (370ml)당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 8.00g | 단백질: 0.00g
리모나타,100ml당 - 칼로리: 43kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g
게토레이 화이트 스플래시,1컵 (200ml)당 - 칼로리: 50kcal | 지방: 0.00g | 탄수화물: 12.00g | 단백질: 0.00g
웰치 그레이프맛,1캔 (355ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g
오라떼 애플,1인분 (240ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
알로에 화이바,1컵 (250ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
과일야채샐러드 주스,1회 (190ml)당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
망고 퓨레,1병 (300ml)당 - 칼로리: 180kcal | 지방: 0.00g | 탄수화물: 45.00g | 단백질: 0.00g
미에로 화이바 (210ml),1회 (210ml)당 - 칼로리: 85kcal | 지방: 0.60g | 탄수화물: 20.00g | 단백질: 0.00g
정성껏 빚은 식혜,1인분 (238ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 1.00g
유기농사과&당근,1인분 (125ml)당 - 칼로리: 50kcal | 지방: 0.00g | 탄수화물: 12.00g | 단백질: 0.00g
벌꿀배,1병 (280ml)당 - 칼로리: 140kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g
제주감귤,1인분 (175ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
오렌지주스,1회 (180ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
코코팜,1인분 (240ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
